"location_id","location","lng","lat","centreline_type","centreline_id","mean_cars","above_avg_cars"
5625,"MORNINGSIDE AVE AT SOUTH KINGSWAY",-79.4819874206448,43.6441009646422,2,13467842,11411,1
5626,"STEELES AVE W AT CAPSTAN GT & SHALE GT",-79.4872700773301,43.7832399218016,2,13445817,15220,1
5634,"BLOOR ST W AT GREEN LANES",-79.5256340026359,43.6441886772779,2,13467896,11679,1
5635,"BYNG AVE AT DANFORTH AVE (PX 1664)",-79.2800519972139,43.6930559982485,2,13459073,10541.6666666667,1
5637,"DANFORTH AVE AT JONES AVE",-79.3401779386932,43.6798746270727,2,13461657,10180.625,1
5638,"DANFORTH AVE AT DONLANDS AVE (PX 347)",-79.3373150046609,43.6804210006826,2,13461561,10236,1
5641,"COXWELL AVE AT DANFORTH AVE (PX 349)",-79.3236390056427,43.6833650032497,2,13460978,12746.6428571429,1
5644,"DANFORTH AVE AT MAIN ST",-79.3018314999925,43.6881452806703,2,13460034,12594.1,1
5645,"DANFORTH AVE AT DAWES RD",-79.2967716448442,43.689305053297,2,13459820,10408.7272727273,1
5646,"KEELE ST AT MILFORD AVE (PX 1673)",-79.4771169964239,43.7045580042896,2,13457627,11566,1
5648,"INDIAN VALLEY CRES AT PARKSIDE DR (PX 1805)",-79.45850800296,43.6511370001777,2,13466722,11812.5,1
5649,"COLLEGE ST AT DOVERCOURT RD",-79.4263897751989,43.6536037740599,2,13466246,9757.33333333333,1
5655,"BRIMLEY RD AT DANFORTH RD",-79.2473848423124,43.7351736807617,2,13452352,12973,1
5658,"BRIMLEY RD AT STEELES AVE E",-79.2872209198315,43.8282732313441,2,13441677,18605.3333333333,1
5660,"BIRCHMOUNT RD AT ST CLAIR AVE E (PX 474)",-79.2711169991538,43.7141580012179,2,13455585,21862,1
5666,"BLOOR ST W AT DUFFERIN ST (PX 325)",-79.4353649944978,43.6598829986992,2,13465260,15436.25,1
5671,"DUFFERIN ST AT BRIDGELAND AVE & YORKDALE RD (PX 616)",-79.4576529968688,43.726994998698,1,444172,28000,1
5672,"COLLEGE ST AT DUFFERIN ST",-79.4325621785799,43.6525691944766,2,13466425,13043.0769230769,1
5675,"FINCH AVE E AT MCCOWAN RD (PX 1176)",-79.2665060046934,43.8080259993086,2,13442643,20154,1
5677,"JOEL SWIRSKY BLVD AT WILSON HEIGHTS BLVD",-79.4538913548414,43.7463071111648,2,13451051,15361,1
5679,"SIGNET DR AT STEELES AVE W",-79.5433885318208,43.7709435601841,2,13447608,17607,1
5681,"DON VALLEY PKWY E TCS AT EGLINTON AVE (PX 1106)",-79.3284949990762,43.7235670027146,2,13454313,18182,1
5689,"BATHURST ST AT BURTON RD & STRATHEARN RD (PX 308)",-79.4218730031384,43.6919350003913,2,13459690,14839,1
5692,"MARKHAM RD AT MCLEVIN AVE & NUGGET AVE (PX 1239)",-79.2410409984096,43.798554997946,2,13443499,25558,1
5695,"GORMLEY AVE AT ORIOLE PKWY (PX 114)",-79.401894996865,43.6937269968296,2,13459295,15762,1
5697,"BREMNER BLVD AT SPADINA AVE & FORT YORK BLVD",-79.3930046074104,43.6405628217994,2,13468134,20006,1
5699,"AVENUE RD AT GLENGROVE AVE W (PX 118)",-79.413471999991,43.7169380032865,2,13455466,16388,1
5704,"QUEEN ST W AT UNIVERSITY AVE (PX 80)",-79.3866280046579,43.6508519992253,2,13466604,17783.5,1
5705,"COLLEGE ST AT UNIVERSITY AVE (PX 83)",-79.3904939972728,43.6598580027243,2,13465166,18983.8,1
5708,"LAWRENCE AVE E AT HOWDEN RD & UNDERWRITERS RD",-79.2879613157846,43.7468223578209,2,13450586,20006,1
5710,"LAWRENCE AVE AT PIMLICO RD (PX 1656)",-79.4824360061738,43.7075369986142,2,13457121,14427,1
5711,"DUFFLAW RD AT LAWRENCE AVE (PX 1123)",-79.4608739950044,43.7127539977002,2,13456252,12368,1
5712,"APEX RD AT GOOD SHEPHERD CRT & LAWRENCE AVE(PX 1707)",-79.4585909989677,43.7132790021727,2,13456161,11923,1
5715,"ELLERSLIE AVE AT NORTON AVE & YONGE ST",-79.4135751768116,43.7719924469497,2,13447189,14256,1
5717,"CUMMER AVE AT DREWRY AVE & YONGE ST (PX 129)",-79.4173499943364,43.7870679999092,2,13445250,20454.5,1
5719,"DIXON RD AT ROYAL YORK RD & ST PHILLIPS RD (PX 433)",-79.5342719960191,43.6998209970903,2,13458463,18706,1
5720,"BLOOR ST E AT TED ROGERS WAY",-79.3805663805765,43.6716108185391,2,13463195,10700,1
5723,"ANCASTER RD AT WILSON AVE (PX 1667)",-79.4655110004672,43.7309319995189,2,13453489,10803,1
5725,"LESMILL RD AT YORK MILLS RD (PX 916)",-79.3520350052422,43.754697996791,2,13449541,15268.5,1
5728,"BAYVIEW AVE AT BAYVIEW MEWS LANE (PX 1147)",-79.3886620009899,43.769379996664,2,13447529,21486,1
5729,"BROWNS LINE AT JELLICOE AVE",-79.5428646723227,43.5965345852909,2,13470590,11736,1
5730,"CASEBRIDGE CT AT MCLEVIN AVE & MORNINGSIDE AVE (PX 1536)",-79.2027239959816,43.8089340027691,2,13442514,14749,1
5731,"ARJAY CRES N AT BAYVIEW AVE",-79.3825847349739,43.7400534658418,2,13451895,20328,1
5732,"BROADVIEW AVE AT EASTERN AVE DIVERSION",-79.3488948308541,43.656658294173,2,13465575,13679.3333333333,1
5739,"SHEPPARD AVE E AT PARKWAY FOREST DR & MALL ENTRANCE",-79.3437226615097,43.775834697804,2,13446518,20456.5,1
5744,"DONLANDS AVE AT MORTIMER AVE (PX 663)",-79.3402589985551,43.687631004496,2,13460235,10947.5,1
5745,"BURNHAMTHORPE RD AT KIPLING AVE (PX 726)",-79.5393950021044,43.650976995782,2,13466915,16715,1
5748,"DON MILLS RD AT ROCHEFORT DR",-79.3379998927969,43.7180050098158,2,13455130,18987.5,1
5749,"DON MILLS RD AT HAVENBROOK BLVD & PARKWAY FOREST DR",-79.3465313419276,43.769571234481,2,13447423,14518,1
5750,"DON MILLS RD AT SENECA HILL DR",-79.3541591052781,43.7902739867315,2,13444705,11621.5,1
5751,"DON MILLS RD AT LEITH HILL RD",-79.347897120598,43.7771288095296,2,13446349,13505,1
5752,"DON MILLS RD AT ESTERBROOKE AVE & FAIRVIEW MALL DR",-79.3487377141898,43.7790856066961,2,13446105,14653.5,1
5755,"CLIFFWOOD RD S AT DON MILLS RD",-79.354709505024,43.8049099176497,2,13443039,10109,1
5756,"GERRARD ST E AT GREENWOOD AVE (PX 369)",-79.3280220005048,43.6709230040115,2,13463183,9439.25,1
5758,"COXWELL AVE AT EASTERN AVE (PX 301)",-79.3162150008697,43.6654930038606,2,13464080,9462,1
5765,"ISLAND RD AT PORT UNION RD",-79.1434975925383,43.7959260173056,2,13443640,18300.5,1
5766,"QUEEN ST E AT WOODBINE AVE",-79.3057752992992,43.6687570794938,2,13463494,13629.6666666667,1
5767,"GERRARD ST E AT WOODBINE AVE (PX 365)",-79.3107539953386,43.6807930035579,2,13461421,12387.5,1
5768,"COSBURN AVE AT WOODBINE AVE (PX 665)",-79.3174320019821,43.6964439987979,2,13458538,12119.6666666667,1
5773,"MOUNT CASTLE GATE AT STEELES AVE E",-79.3204570277429,43.8205793272619,2,13441950,17586,1
5776,"BIRCHMOUNT RD AT KINGSTON RD",-79.2623339071601,43.6930466720611,2,13459028,10643,1
5777,"KINGSTON RD AT MANSE RD",-79.1779719781775,43.7748584242648,2,13446300,20514,1
5779,"OAK ST AT WESTON RD",-79.5336270294691,43.7077852393058,2,13457191,16457,1
5782,"HIGHWAY 27 AT QUEENS PLATE DR (PX 1246)",-79.5980450048466,43.7227579958025,2,13454932,11128,1
5783,"ALBION RD AT SILVERSTONE DR (PX 1156)",-79.6000940057273,43.7429520012515,2,13451893,15855,1
5786,"MARTIN GROVE RD AT REXDALE BLVD",-79.5811176194864,43.7138449170131,2,13456327,20025.5,1
5790,"DAWES RD AT VICTORIA PARK AVE (PX 1131)",-79.2950849964239,43.7067479963544,2,13456890,10057,1
5801,"CHALKFARM DR N AT EXBURY RD & JANE ST",-79.5107123841607,43.7293037597357,2,13453888,11139,1
5813,"BLOOR ST E AT SHERBOURNE ST (PX 262)",-79.3768540021916,43.6723580042008,2,13463078,14573.625,1
5816,"BLOOR ST W AT DOVERCOURT RD (PX 324)",-79.4294380049655,43.6611499976592,2,13465043,10711.4285714286,1
5817,"BLOOR ST W AT LANSDOWNE AVE (PX 326)",-79.4427340015419,43.6583380029122,2,13465512,12157.2857142857,1
5821,"BLOOR ST AT SHAVER AVE (PX 910)",-79.5477720059874,43.6390290024517,2,13468541,11413,1
5825,"KEELE ST AT QUINAN DR & WYNDALE DR",-79.4782804008045,43.7096218786242,2,13456818,16401,1
5826,"GRACEFIELD AVE AT KEELE ST (PX 2391)",-79.4788559967182,43.7122240003875,2,13456374,15677,1
5829,"HUNTINGWOOD DR AT MIDLAND AVE",-79.2834364743932,43.7970594282981,2,13443751,12413.2857142857,1
5834,"DUPONT ST AT SYMINGTON AVE (PX 845)",-79.4512500006134,43.665745997274,2,13464361,12486.6666666667,1
5838,"BRIMLEY RD AT PROGRESS AVE (PX 1072)",-79.2631830057711,43.7752810004707,2,13446436,21815.3333333333,1
5850,"DUFFERIN ST AT KING ST W (PX 539)",-79.4273740058434,43.6389599978972,2,13468374,10987,1
5864,"COLLEGE ST AT OSSINGTON AVE (PX 829)",-79.4227049966372,43.6543999961917,2,13466116,10383.25,1
5866,"MARLEE AVE AT ROSELAWN AVE (PX 805)",-79.4411090055545,43.7022530030853,2,13457929,10619,1
5870,"LAWRENCE AVE W AT W R ALLEN RD SOUTHBOUND OFF RAMP",-79.4449810811225,43.7159390475177,2,13455699,15852,1
5878,"EGLINTON AVE W AT RICHARDSON AVE (PX 466)",-79.4715150054588,43.6909769999106,2,13459957,11009,1
5881,"EGLINTON AVE AT GLEN CEDAR RD & OLD PARK RD (PX 101)",-79.4309059960951,43.6998509971136,2,13458244,12145,1
5888,"BATHURST ST AT DUNDAS ST W",-79.4060223641094,43.6523116870524,2,13466407,12727.5,1
5889,"BATHURST ST AT COLLEGE ST (PX 300)",-79.4077219983631,43.6564809958047,2,13465757,13281.25,1
5891,"BATHURST ST AT HARBORD ST (PX 303)",-79.4097690010776,43.6615139958774,2,13464943,12198.25,1
5898,"BATHURST ST AT GLENGROVE AVE",-79.4285992854986,43.7142039970894,2,13455942,17019,1
